"Freq [GHz]","Phi [deg]","Theta [deg]","dB20normalize(rETotal) []"
10,90,-180,-24.0155118399727
10,90,-179,-24.3060802318121
10,90,-178,-25.0425433822797
10,90,-177,-26.2312084695631
10,90,-176,-27.7811178154272
10,90,-175,-29.2193469008358
10,90,-174,-29.4579191353907
10,90,-173,-28.1104519693409
10,90,-172,-26.2110936051664
10,90,-171,-24.5207700061784
10,90,-170,-23.2380191959692
10,90,-169,-22.369065612476
10,90,-168,-21.8841250886193
10,90,-167,-21.7564622775312
10,90,-166,-21.9695649054066
10,90,-165,-22.516457984793
10,90,-164,-23.3954797153688
10,90,-163,-24.5987498278838
10,90,-162,-26.0788414483877
10,90,-161,-27.6611594687208
10,90,-160,-28.9027107718583
10,90,-159,-29.210441199475
10,90,-158,-28.5309268756049
10,90,-157,-27.421915674305
10,90,-156,-26.3497101150964
10,90,-155,-25.50413096825
10,90,-154,-24.9362126848927
10,90,-153,-24.6547238052068
10,90,-152,-24.6637910648551
10,90,-151,-24.9756412771308
10,90,-150,-25.6145630131211
10,90,-149,-26.6156787409927
10,90,-148,-28.0105103322437
10,90,-147,-29.7600583101949
10,90,-146,-31.5169072911566
10,90,-145,-32.282861192491
10,90,-144,-31.3727610372871
10,90,-143,-29.6804048071552
10,90,-142,-28.1153625764458
10,90,-141,-26.9583344844998
10,90,-140,-26.2378864646814
10,90,-139,-25.9293853498211
10,90,-138,-26.0074758872782
10,90,-137,-26.4560094938308
10,90,-136,-27.2657089440808
10,90,-135.000000000001,-28.421750165833
10,90,-134.000000000001,-29.8666976692939
10,90,-133.000000000001,-31.4047464619577
10,90,-132.000000000001,-32.5618634199295
10,90,-131.000000000001,-32.7637727835057
10,90,-130.000000000001,-32.0477340249127
10,90,-129.000000000001,-31.0065349240223
10,90,-128.000000000001,-30.0886049224107
10,90,-127.000000000001,-29.4736645080771
10,90,-126.000000000001,-29.21518340906
10,90,-125.000000000001,-29.3271285260182
10,90,-124.000000000001,-29.8108691704511
10,90,-123.000000000001,-30.6469971809629
10,90,-122.000000000001,-31.7455128416362
10,90,-121.000000000001,-32.8304684193969
10,90,-120.000000000001,-33.3639421010346
10,90,-119.000000000001,-32.9480087193917
10,90,-118.000000000001,-31.8786459188384
10,90,-117.000000000001,-30.7207681642178
10,90,-116.000000000001,-29.8012678369448
10,90,-115.000000000001,-29.2369884937545
10,90,-114.000000000001,-29.0614705753174
10,90,-113.000000000001,-29.2900045701655
10,90,-112.000000000001,-29.9470541166965
10,90,-111.000000000001,-31.0825649343036
10,90,-110.000000000001,-32.7902774852395
10,90,-109.000000000001,-35.2304595868607
10,90,-108.000000000001,-38.5791638965259
10,90,-107.000000000001,-42.019125170118
10,90,-106.000000000001,-41.3658540134116
10,90,-105.000000000001,-38.1654880069837
10,90,-104.000000000001,-35.6454695814328
10,90,-103.000000000001,-33.9912139999968
10,90,-102.000000000001,-33.0139168799608
10,90,-101.000000000001,-32.5913019304264
10,90,-100.000000000001,-32.6721057245242
10,90,-99.0000000000007,-33.2640526061941
10,90,-98.0000000000007,-34.4396354292738
10,90,-97.0000000000007,-36.3696891682955
10,90,-96.0000000000007,-39.3987566816178
10,90,-95.0000000000007,-43.8561862840833
10,90,-94.0000000000007,-45.1529698274728
10,90,-93.0000000000007,-40.4203802913011
10,90,-92.0000000000007,-36.700004464055
10,90,-91.0000000000007,-34.2465011318157
10,90,-90.0000000000007,-32.6513463444268
10,90,-89.0000000000007,-31.7017787220308
10,90,-88.0000000000007,-31.3052086413072
10,90,-87.0000000000007,-31.4453000397924
10,90,-86.0000000000007,-32.1759037485851
10,90,-85.0000000000007,-33.6529804311544
10,90,-84.0000000000007,-36.2508742238866
10,90,-83.0000000000007,-40.9723734131308
10,90,-82.0000000000007,-47.955756089049
10,90,-81.0000000000007,-40.5883366419317
10,90,-80.0000000000007,-35.0956289917159
10,90,-79.0000000000007,-31.7814184533423
10,90,-78.0000000000007,-29.5956304741918
10,90,-77.0000000000007,-28.1415342395483
10,90,-76.0000000000007,-27.243503125807
10,90,-75.0000000000007,-26.8208311281573
10,90,-74.0000000000007,-26.8448863257537
10,90,-73.0000000000007,-27.3234423271081
10,90,-72.0000000000007,-28.2932712316351
10,90,-71.0000000000007,-29.7981116782226
10,90,-70.0000000000007,-31.7560796164831
10,90,-69.0000000000007,-33.3868991801288
10,90,-68.0000000000007,-32.8970420721498
10,90,-67.0000000000007,-30.570572653737
10,90,-66.0000000000007,-28.1414788399677
10,90,-65.0000000000007,-26.1853335858171
10,90,-64.0000000000007,-24.729133575457
10,90,-63.0000000000007,-23.7147208827623
10,90,-62.0000000000007,-23.0933401517903
10,90,-61.0000000000007,-22.8366311554403
10,90,-60.0000000000007,-22.9333200513079
10,90,-59.0000000000007,-23.3816362201082
10,90,-58.0000000000007,-24.1710516580249
10,90,-57.0000000000007,-25.2285993647578
10,90,-56.0000000000007,-26.2798751952152
10,90,-55.0000000000006,-26.6947686451476
10,90,-54.0000000000006,-25.9237384416518
10,90,-53.0000000000006,-24.3069738875371
10,90,-52.0000000000006,-22.5316096617454
10,90,-51.0000000000006,-20.9547654519261
10,90,-50.0000000000006,-19.6764208727436
10,90,-49.0000000000006,-18.7041642485304
10,90,-48.0000000000006,-18.0232214108098
10,90,-47.0000000000006,-17.6179879190988
10,90,-46.0000000000006,-17.4766521381722
10,90,-45.0000000000006,-17.589013050636
10,90,-44.0000000000006,-17.9382169859224
10,90,-43.0000000000006,-18.481590091805
10,90,-42.0000000000006,-19.112353162336
10,90,-41.0000000000006,-19.6092303451691
10,90,-40.0000000000006,-19.6576971314072
10,90,-39.0000000000006,-19.070059400648
10,90,-38.0000000000006,-17.9912203920682
10,90,-37.0000000000006,-16.7363185317172
10,90,-36.0000000000006,-15.5459238265015
10,90,-35.0000000000006,-14.5402153431992
10,90,-34.0000000000006,-13.7664944767109
10,90,-33.0000000000006,-13.2402746988469
10,90,-32.0000000000006,-12.9663220809211
10,90,-31.0000000000006,-12.9476398167491
10,90,-30.0000000000006,-13.1882750405837
10,90,-29.0000000000006,-13.6915711872862
10,90,-28.0000000000006,-14.4512358592257
10,90,-27.0000000000006,-15.4261368652549
10,90,-26.0000000000006,-16.4822807478988
10,90,-25.0000000000006,-17.3112969845418
10,90,-24.0000000000006,-17.4915284117264
10,90,-23.0000000000006,-16.8871593294748
10,90,-22.0000000000006,-15.8357835501329
10,90,-21.0000000000006,-14.7553803397808
10,90,-20.0000000000006,-13.8895602963344
10,90,-19.0000000000006,-13.3489655306254
10,90,-18.0000000000006,-13.1944354202262
10,90,-17.0000000000006,-13.4868937291246
10,90,-16.0000000000006,-14.3178158448198
10,90,-15.0000000000006,-15.8288320688351
10,90,-14.0000000000006,-18.131451608118
10,90,-13.0000000000006,-20.3107013342991
10,90,-12.0000000000006,-18.7436206389204
10,90,-11.0000000000006,-14.8103016228542
10,90,-10.0000000000006,-11.3636865841014
10,90,-9.0000000000006,-8.65286908120505
10,90,-8.0000000000006,-6.50846668486385
10,90,-7.0000000000006,-4.79217794927878
10,90,-6.0000000000006,-3.41352240832569
10,90,-5.0000000000006,-2.31360290050461
10,90,-4.0000000000006,-1.45329853909306
10,90,-3.0000000000006,-0.806289807928414
10,90,-2.0000000000006,-0.355011802294129
10,90,-1.0000000000006,-0.0882929676592672
10,90,-5.95956433439226e-13,-5.26187621038871e-14
10,90,0.999999999999404,-0.0883342216214043
10,90,1.9999999999994,-0.355609788722825
10,90,2.9999999999994,-0.808463465458079
10,90,3.9999999999994,-1.4585457861558
10,90,4.9999999999994,-2.32386114885513
10,90,5.9999999999994,-3.43110359705712
10,90,6.9999999999994,-4.81963985019548
10,90,7.9999999999994,-6.54828135501652
10,90,8.9999999999994,-8.7063458823279
10,90,9.9999999999994,-11.4267593863803
10,90,10.9999999999994,-14.8542925081903
10,90,11.9999999999994,-18.6386869296116
10,90,12.9999999999994,-19.9589483156979
10,90,13.9999999999994,-17.8659269860148
10,90,14.9999999999994,-15.6837706918839
10,90,15.9999999999994,-14.2456754030013
10,90,16.9999999999994,-13.4594338234222
10,90,17.9999999999994,-13.1950498874006
10,90,18.9999999999994,-13.3661487221817
10,90,19.9999999999994,-13.9143635191638
10,90,20.9999999999994,-14.7813955742118
10,90,21.9999999999994,-15.8619699147666
10,90,22.9999999999994,-16.9238104161884
10,90,23.9999999999994,-17.560678059157
10,90,24.9999999999994,-17.4235827901822
10,90,25.9999999999994,-16.6190526766254
10,90,26.9999999999994,-15.5608162275015
10,90,27.9999999999994,-14.5666441621544
10,90,28.9999999999994,-13.7794781791883
10,90,29.9999999999994,-13.2455923753127
10,90,30.9999999999994,-12.9741947622891
10,90,31.9999999999994,-12.9639190879949
10,90,32.9999999999994,-13.2123849414797
10,90,33.9999999999994,-13.7182350700246
10,90,34.9999999999994,-14.4784441851821
10,90,35.9999999999994,-15.4791955605545
10,90,36.9999999999994,-16.6739159568576
10,90,37.9999999999994,-17.9391847751268
10,90,38.9999999999994,-19.022030342082
10,90,39.9999999999994,-19.5890263260543
10,90,40.9999999999994,-19.4953295778065
10,90,41.9999999999994,-18.9522065383229
10,90,42.9999999999994,-18.2913104522261
10,90,43.9999999999994,-17.7359817856643
10,90,44.9999999999994,-17.3896424246681
10,90,45.9999999999994,-17.2917952357092
10,90,46.9999999999994,-17.4573986739322
10,90,47.9999999999995,-17.8959085172704
10,90,48.9999999999995,-18.6194349559868
10,90,49.9999999999995,-19.6451281472528
10,90,50.9999999999995,-20.9911273093461
10,90,51.9999999999995,-22.6555276056543
10,90,52.9999999999995,-24.5430880233976
10,90,53.9999999999995,-26.2788248131563
10,90,54.9999999999995,-27.1027501675385
10,90,55.9999999999995,-26.6448903361077
10,90,56.9999999999995,-25.5384617907064
10,90,57.9999999999995,-24.4567071366747
10,90,58.9999999999995,-23.6676326382249
10,90,59.9999999999995,-23.2324524336332
10,90,60.9999999999995,-23.1542133252479
10,90,61.9999999999995,-23.4304986916341
10,90,62.9999999999995,-24.0703451620113
10,90,63.9999999999995,-25.1013724753365
10,90,64.9999999999995,-26.5738435891224
10,90,65.9999999999995,-28.5533619486098
10,90,66.9999999999995,-31.0388260509453
10,90,67.9999999999995,-33.5118939652942
10,90,68.9999999999995,-34.1614653405383
10,90,69.9999999999995,-32.4999492466128
10,90,70.9999999999995,-30.452275917078
10,90,71.9999999999995,-28.8723921332128
10,90,72.9999999999995,-27.8395550167048
10,90,73.9999999999995,-27.3005610892404
10,90,74.9999999999995,-27.2109028118188
10,90,75.9999999999995,-27.5553653229939
10,90,76.9999999999995,-28.3530171002103
10,90,77.9999999999995,-29.6687658030984
10,90,78.9999999999995,-31.6457175612604
10,90,79.9999999999995,-34.5953163080858
10,90,80.9999999999995,-39.2713736706863
10,90,81.9999999999995,-46.4734726400445
10,90,82.9999999999995,-42.5677981213686
10,90,83.9999999999995,-37.2761263832568
10,90,84.9999999999995,-34.2944113980831
10,90,85.9999999999995,-32.5349700267089
10,90,86.9999999999995,-31.5610236199837
10,90,87.9999999999995,-31.1893571776656
10,90,88.9999999999995,-31.3511898735264
10,90,89.9999999999995,-32.0513140633784
10,90,90.9999999999995,-33.3701601100302
10,90,91.9999999999995,-35.5119494046063
10,90,92.9999999999995,-38.9708319120192
10,90,93.9999999999995,-45.06949416352
10,90,94.9999999999995,-48.6489713102848
10,90,95.9999999999995,-41.2402458835666
10,90,96.9999999999995,-37.0354429515435
10,90,97.9999999999995,-34.5610374640388
10,90,98.9999999999995,-33.0773777362625
10,90,99.9999999999995,-32.2971092791226
10,90,101,-32.1049780798502
10,90,102,-32.476457220589
10,90,103,-33.45857307688
10,90,104,-35.178395216071
10,90,105,-37.8282717101969
10,90,106,-41.0678472244336
10,90,107,-41.1252017640976
10,90,108,-37.5163758077154
10,90,109,-34.3172182068889
10,90,110,-32.0430736852117
10,90,111,-30.4911615279201
10,90,112,-29.5041656246508
10,90,113,-28.9915499986998
10,90,114,-28.9050855358566
10,90,115,-29.2205718549927
10,90,116,-29.9201556183156
10,90,117,-30.9596735462624
10,90,118,-32.190790710448
10,90,118.999999999999,-33.2263236683745
10,90,119.999999999999,-33.4884785158431
10,90,120.999999999999,-32.819418001041
10,90,121.999999999999,-31.7140046844435
10,90,122.999999999999,-30.670821561204
10,90,123.999999999999,-29.915623423445
10,90,124.999999999999,-29.5147162831907
10,90,125.999999999999,-29.477148302447
10,90,126.999999999999,-29.7929519098745
10,90,127.999999999999,-30.4334657905932
10,90,128.999999999999,-31.3169395559112
10,90,129.999999999999,-32.2241681469788
10,90,130.999999999999,-32.7170548159066
10,90,131.999999999999,-32.362462375262
10,90,132.999999999999,-31.2492350822307
10,90,133.999999999999,-29.8602901639488
10,90,134.999999999999,-28.5648019729821
10,90,135.999999999999,-27.5235446189098
10,90,136.999999999999,-26.7899411536608
10,90,137.999999999999,-26.3809472795051
10,90,138.999999999999,-26.3067324238888
10,90,139.999999999999,-26.5810347184625
10,90,140.999999999999,-27.2222242403677
10,90,141.999999999999,-28.2426972970266
10,90,142.999999999999,-29.6040659178872
10,90,143.999999999999,-31.0733637958477
10,90,144.999999999999,-31.9759681560614
10,90,145.999999999999,-31.5484567642984
10,90,146.999999999999,-30.0967868161548
10,90,147.999999999999,-28.4617217252431
10,90,148.999999999999,-27.0642850184969
10,90,149.999999999999,-26.0046090930053
10,90,150.999999999999,-25.2802377652487
10,90,151.999999999999,-24.8704775462931
10,90,152.999999999999,-24.7608040616519
10,90,153.999999999999,-24.9490828308006
10,90,154.999999999999,-25.4453444344004
10,90,155.999999999999,-26.2639396899802
10,90,156.999999999999,-27.392440480348
10,90,157.999999999999,-28.6879428835144
10,90,158.999999999999,-29.6438361026702
10,90,159.999999999999,-29.4334552499433
10,90,160.999999999999,-27.9891934185097
10,90,161.999999999999,-26.1308138231858
10,90,162.999999999999,-24.4351148123912
10,90,163.999999999999,-23.0842607744747
10,90,164.999999999999,-22.1053950039133
10,90,165.999999999999,-21.4878233543835
10,90,166.999999999999,-21.218757476894
10,90,167.999999999999,-21.2924954277825
10,90,168.999999999999,-21.7116047310241
10,90,169.999999999999,-22.4836269578566
10,90,170.999999999999,-23.6083190832521
10,90,171.999999999999,-25.0362510771355
10,90,172.999999999999,-26.5554512653855
10,90,173.999999999999,-27.6263020857899
10,90,174.999999999999,-27.6373864050212
10,90,175.999999999999,-26.7400352307753
10,90,176.999999999999,-25.6151737635381
10,90,177.999999999999,-24.7009157641843
10,90,178.999999999999,-24.1530798966384
10,90,179.999999999999,-24.0155118399729
